Pollutant,LAT,LONG
O3,17.5275,78.5025
O3,17.3675,78.41251
O3,17.2775,78.5425
O3,17.3475,78.3975
O3,17.5375,78.5825
O3,17.4175,78.6125
O3,17.5975,78.3825
O3,17.5475,78.4025
O3,17.4625,78.73251
O3,17.4525,78.3075
O3,17.4225,78.60751
O3,17.4875,78.4775
O3,17.2975,78.53751
O3,17.4775,78.3275
O3,17.4275,78.6475
O3,17.3425,78.4375
O3,17.5175,78.3225
O3,17.6025,78.3825
O3,17.5075,78.3475
O3,17.3325,78.3975
O3,17.3025,78.4225
O3,17.5325,78.4875
O3,17.3275,78.3675
O3,17.4275,78.6375
O3,17.3125,78.37251
O3,17.5375,78.4175
O3,17.5175,78.5225
O3,17.6225,78.5675
O3,17.4375,78.6325
O3,17.2775,78.5325
O3,17.4725,78.3075
O3,17.4575,78.3075
O3,17.2775,78.4075
O3,17.5325,78.4775
O3,17.5875,78.3825
O3,17.3325,78.3675
O3,17.5975,78.3775
O3,17.4275,78.60751
O3,17.2725,78.5075
O3,17.4725,78.2975
O3,17.3125,78.5875
O3,17.5325,78.4225
O3,17.2925,78.5325
O3,17.5075,78.8875
O3,17.3125,78.5725
O3,17.3475,78.4375
O3,17.3425,78.4025
O3,17.4225,78.6025
O3,17.3875,78.3525
O3,17.5075,78.3425
O3,17.3125,78.5825
O3,17.5375,78.5075
O3,17.3675,78.4075
SO2,17.5375,78.1975
SO2,17.3125,78.5675
SO2,17.5425,78.1975
SO2,17.5475,78.1825
SO2,17.5475,78.2175
SO2,17.5375,78.2025
SO2,17.5475,78.1975
SO2,17.5425,78.2025
SO2,17.3075,78.5675
SO2,17.5475,78.17751
SO2,17.3125,78.5625
SO2,17.3125,78.5725
SO2,17.5575,78.3975
SO2,17.4225,78.6125
SO2,17.5525,78.17751
SO2,17.3075,78.5725
SO2,17.5425,78.2125
SO2,17.5525,78.1825
SO2,17.5425,78.2075
SO2,17.5525,78.1725
SO2,17.5575,78.17751
SO2,17.5525,78.1975
SO2,17.5475,78.2075
SO2,17.5475,78.2025
SO2,17.3125,78.5825
SO2,17.5375,78.1925
SO2,17.3175,78.5825
SO2,17.5475,78.1925
SO2,17.4175,78.60751
SO2,17.3075,78.5625
SO2,17.5425,78.1925
SO2,17.2725,78.4025
SO2,17.3125,78.5775
SO2,17.4975,78.5775
SO2,17.3125,78.5875
SO2,17.3175,78.5925
SO2,17.5575,78.4025
SO2,17.5875,78.3875
SO2,17.2725,78.3925
SO2,17.3175,78.5875
SO2,17.4925,78.4775
SO2,17.4925,78.4725
SO2,17.4875,78.4775
SO2,17.4875,78.4725
SO2,17.2975,78.5825
SO2,17.2975,78.5875
SO2,17.2775,78.4025
SO2,17.4225,78.60751
SO2,17.2825,78.4175
SO2,17.2725,78.4075
SO2,17.2725,78.3975
SO2,17.5475,78.4025
SO2,17.5425,78.4025
SO2,17.4175,78.6125
SO2,17.3125,78.5025
SO2,17.5025,78.5575
SO2,17.4825,78.8225
SO2,17.3075,78.5825
SO2,17.3225,78.5875
SO2,17.3225,78.6275
SO2,17.3075,78.5925
SO2,17.3325,78.62251
SO2,17.3125,78.5075
SO2,17.3075,78.6175
SO2,17.4275,78.60751
SO2,17.5075,78.3425
SO2,17.5425,78.2175
SO2,17.3225,78.60751
SO2,17.3075,78.5025
SO2,17.3175,78.6375
SO2,17.3075,78.5075
SO2,17.2625,78.4025
SO2,17.3075,78.5875
SO2,17.5025,78.5625
SO2,17.3175,78.6475
SO2,17.4825,78.3475
SO2,17.5375,78.5825
SO2,17.2925,78.5875
SO2,17.4675,78.7925
SO2,17.3075,78.5775
SO2,17.3125,78.5925
SO2,17.4675,78.78751
SO2,17.4775,78.8175
SO2,17.3125,78.60751
SO2,17.3225,78.5125
SO2,17.4925,78.4675
SO2,17.4325,78.60751
SO2,17.3075,78.5975
SO2,17.4825,78.8175
SO2,17.5325,78.5825
SO2,17.3025,78.5825
SO2,17.2775,78.41251
SO2,17.4475,78.6025
SO2,17.5425,78.3775
SO2,17.3225,78.6375
SO2,17.3675,78.41251
SO2,17.5425,78.5775
SO2,17.3075,78.60751
SO2,17.6425,78.4875
SO2,17.2725,78.3825
SO2,17.2875,78.4175
SO2,17.4875,78.4675
SO2,17.5325,78.5775
SO2,17.3175,78.5075
SO2,17.3275,78.6175
SO2,17.3225,78.6125
SO2,17.3175,78.60751
SO2,17.5425,78.37251
SO2,17.4875,78.8175
SO2,17.5375,78.5775
SO2,17.3025,78.5775
SO2,17.2675,78.4025
SO2,17.3125,78.6025
SO2,17.2775,78.4075
SO2,17.4675,78.7975
SO2,17.3275,78.6125
SO2,17.3075,78.6825
SO2,17.5925,78.3875
SO2,17.4125,78.6275
SO2,17.3075,78.6025
SO2,17.2675,78.3975
SO2,17.4175,78.6025
SO2,17.5275,78.3425
SO2,17.3175,78.6025
SO2,17.5125,78.5975
SO2,17.3075,78.5125
SO2,17.3175,78.5975
SO2,17.4425,78.6025
SO2,17.4875,78.8225
SO2,17.4175,78.6275
SO2,17.3675,78.4075
SO2,17.5225,78.3425
SO2,17.5075,78.3475
SO2,17.3125,78.5975
SO2,17.4575,78.5925
SO2,17.5975,78.1175
SO2,17.2875,78.4225
SO2,17.3175,78.6325
SO2,17.2875,78.42751
SO2,17.3225,78.6025
SO2,17.5275,78.3375
SO2,17.3725,78.4075
SO2,17.5125,78.3425
SO2,17.2875,78.60751
SO2,17.3225,78.5025
SO2,17.4425,78.60751
SO2,17.5875,78.3825
SO2,17.4675,78.7575
SO2,17.3175,78.5025
SO2,17.5375,78.3975
SO2,17.4725,78.3275
SO2,17.3025,78.5075
SO2,17.4875,78.3375
SO2,17.5875,78.1175
SO2,17.5325,78.3425
SO2,17.5975,78.3875
SO2,17.5225,78.3375
SO2,17.5875,78.3675
SO2,17.3175,78.66251
SO2,17.4825,78.3425
SO2,17.3375,78.62251
SO2,17.4775,78.3275
SO2,17.2925,78.42751
SO2,17.5225,78.3175
SO2,17.4375,78.5825
SO2,17.3325,78.6175
SO2,17.5325,78.3375
SO2,17.3325,78.6125
SO2,17.3175,78.6525
SO2,17.3225,78.6325
SO2,17.4975,78.4775
SO2,17.5925,78.3675
SO2,17.5375,78.4025
SO2,17.7375,78.2825
SO2,17.3325,78.60751
SO2,17.4325,78.6375
SO2,17.3075,78.49751
SO2,17.2725,78.7925
SO2,17.3175,78.6425
SO2,17.3725,78.3525
SO2,17.3075,78.6875
SO2,17.5175,78.3375
SO2,17.4675,78.7525
SO2,17.3575,78.35751
SO2,17.2925,78.4325
SO2,17.3425,78.35751
SO2,17.5325,78.3475
SO2,17.3025,78.5025
SO2,17.5275,78.5025
SO2,17.5775,78.3775
SO2,17.5575,78.3625
SO2,17.5825,78.37251
SO2,17.3025,78.5125
SO2,17.4125,78.6425
SO2,17.4725,78.3325
SO2,17.5225,78.3625
SO2,17.2575,78.8425
SO2,17.5375,78.3775
SO2,17.5225,78.28751
SO2,17.5475,78.3825
SO2,17.4825,78.3325
SO2,17.5125,78.3375
SO2,17.5775,78.4175
SO2,17.5275,78.5825
SO2,17.3775,78.3525
SO2,17.5825,78.3825
SO2,17.5325,78.6875
SO2,17.3225,78.5975
SO2,17.3175,78.6575
SO2,17.3025,78.49751
SO2,17.3425,78.5825
HCHO,17.6025,78.0875
HCHO,17.6075,78.0875
HCHO,17.4075,78.6125
HCHO,17.6025,78.0825
HCHO,17.4825,78.2975
HCHO,17.4725,78.3325
HCHO,17.5975,78.0875
HCHO,17.4625,78.35751
HCHO,17.4275,78.37251
HCHO,17.5075,78.3475
HCHO,17.5125,78.3475
HCHO,17.5825,78.1275
HCHO,17.4575,78.3625
HCHO,17.4675,78.3375
HCHO,17.4225,78.3675
HCHO,17.4125,78.6125
HCHO,17.7325,78.2775
HCHO,17.4575,78.35751
HCHO,17.7375,78.2775
HCHO,17.4225,78.3875
HCHO,17.4675,78.3325
HCHO,17.4275,78.3675
HCHO,17.4725,78.3275
HCHO,17.6275,78.0875
HCHO,17.4175,78.6125
HCHO,17.4625,78.3375
HCHO,17.4775,78.2975
HCHO,17.5925,78.0875
HCHO,17.4575,78.3425
HCHO,17.4225,78.3925
HCHO,17.5075,78.3375
HCHO,17.4275,78.3925
HCHO,17.5125,78.3375
HCHO,17.5925,78.1125
HCHO,17.7325,78.2825
HCHO,17.6025,78.3825
HCHO,17.5825,78.12251
HCHO,17.2925,78.6125
HCHO,17.4775,78.3325
HCHO,17.5225,78.53751
HCHO,17.4875,78.3375
HCHO,17.4625,78.3425
HCHO,17.4675,78.3275
HCHO,17.5375,78.3425
HCHO,17.4675,78.30251
HCHO,17.4625,78.3325
HCHO,17.2875,78.60751
HCHO,17.5975,78.3775
HCHO,17.4575,78.7075
HCHO,17.4125,78.60751
HCHO,17.5075,78.3425
HCHO,17.3125,78.5975
HCHO,17.4625,78.30251
HCHO,17.5225,78.5325
HCHO,17.5275,78.53751
HCHO,17.5725,78.3325
HCHO,17.4725,78.2975
HCHO,17.4225,78.60751
HCHO,17.6125,78.3875
HCHO,17.4125,78.6025
HCHO,17.4825,78.3325
HCHO,17.4825,78.3425
HCHO,17.5975,78.1175
HCHO,17.5975,78.3825
HCHO,17.5175,78.5225
HCHO,17.5175,78.8975
HCHO,17.7375,78.2825
HCHO,17.4525,78.3425
HCHO,17.5475,78.3275
HCHO,17.3075,78.5825
HCHO,17.4575,78.3475
HCHO,17.5975,78.0825
HCHO,17.4825,78.3375
HCHO,17.4775,78.3275
HCHO,17.4825,78.3475
HCHO,17.5125,78.3425
HCHO,17.4775,78.30251
HCHO,17.5575,78.3875
HCHO,17.3625,78.3775
HCHO,17.3075,78.60751
HCHO,17.5525,78.3275
HCHO,17.4775,78.91251
HCHO,17.4225,78.6125
HCHO,17.3075,78.5875
HCHO,17.2725,78.3825
HCHO,17.5425,78.3325
HCHO,17.5875,78.1275
HCHO,17.4675,78.78751
HCHO,17.4575,78.3525
HCHO,17.5975,78.3875
HCHO,17.3425,78.3825
HCHO,17.6025,78.3875
HCHO,17.4625,78.3075
HCHO,17.5425,78.5725
HCHO,17.5525,78.3325
HCHO,17.4075,78.3625
HCHO,17.2925,78.5875
HCHO,17.4775,78.9075
HCHO,17.3725,78.3775
HCHO,17.6625,78.6125
HCHO,17.4325,78.60751
HCHO,17.2925,78.60751
HCHO,17.3375,78.3825
HCHO,17.3725,78.37251
HCHO,17.4875,78.3075
HCHO,17.4725,78.3225
HCHO,17.5425,78.3275
HCHO,17.3075,78.6875
HCHO,17.5675,78.3275
HCHO,17.2725,78.3925
HCHO,17.2975,78.6125
HCHO,17.5275,78.5325
HCHO,17.5775,78.3775
HCHO,17.3375,78.3775
HCHO,17.3075,78.6025
HCHO,17.3075,78.6175
HCHO,17.3425,78.3875
HCHO,17.5275,78.5625
HCHO,17.5275,78.5425
HCHO,17.6075,78.3875
HCHO,17.5375,78.3325
HCHO,17.5225,78.5575
HCHO,17.3675,78.3775
HCHO,17.4175,78.60751
HCHO,17.3775,78.37251
HCHO,17.4575,78.30251
HCHO,17.6625,78.60751
HCHO,17.3825,78.37251
HCHO,17.5175,78.3375
HCHO,17.5375,78.5825
HCHO,17.5325,78.3425
HCHO,17.5275,78.3425
HCHO,17.3075,78.5775
HCHO,17.4675,78.3225
HCHO,17.5125,78.8975
HCHO,17.4625,78.7575
HCHO,17.3325,78.3675
HCHO,17.4625,78.7525
HCHO,17.3125,78.6025
HCHO,17.5925,78.3825
HCHO,17.3825,78.3675
HCHO,17.4675,78.3075
HCHO,17.4275,78.6125
HCHO,17.4525,78.7125
HCHO,17.4325,78.6125
HCHO,17.3175,78.60751
HCHO,17.4875,78.8225
HCHO,17.5575,78.3825
HCHO,17.5875,78.1175
HCHO,17.3125,78.60751
HCHO,17.5075,78.2925
HCHO,17.5925,78.37251
HCHO,17.4425,78.6125
HCHO,17.3775,78.3975
HCHO,17.3075,78.5975
HCHO,17.5375,78.5725
HCHO,17.3075,78.6825
HCHO,17.5325,78.3475
HCHO,17.3025,78.6025
HCHO,17.4425,78.60751
HCHO,17.3775,78.3775
HCHO,17.5275,78.8975
HCHO,17.3425,78.3925
HCHO,17.4725,78.3925
HCHO,17.3075,78.4575
HCHO,17.5225,78.3425
HCHO,17.3375,78.3675
HCHO,17.5275,78.5775
HCHO,17.4575,78.7125
